Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
29,1,7.499469838337973,"(58.71313148835371, 118.43130997125901)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 44.72081979858265)",e3_0,0.23853667988441885
29,2,7.153180580935441,"(40.9358725541789, 129.3737387037925)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 42.42380623643486)",e3_1,-0.03707657603081316
29,3,6.543945421115495,"(11.80622620214669, 125.15500932417149)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_0,-0.04686338477768004
29,4,9.06644103943836,"(-6.714498587213463, 123.29225403654206)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,0.5759620859276531
29,ev_0,16.32051371235866,"(44.59320421648854, 131.43037953550413)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e3_2,-1.0152193871326745
30,0,8.147737479535863,"(111.64271154517247, 96.49939105919717)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 42.995805541449215)",e3_0,-0.577989237033762
30,1,6.7989794061286375,"(64.99410671342193, 115.82872292679372)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 44.115072737615975)",e3_0,-0.7004904322093353
30,2,6.775835007661954,"(47.195466718254735, 126.78001112307952)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 42.16998552364031)",e3_1,-0.3773455732734874
30,3,7.4047264670953155,"(18.925952505861297, 127.18906604578127)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_0,0.8607810459798202
30,4,7.029655720456503,"(0.043590960720763405, 125.22327992012292)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,-2.036785318981856
30,ev_0,18.509676577872597,"(61.69265592314423, 124.34504487257067)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e3_2,2.1891628655139357
31,0,7.238271031877957,"(118.32950941700798, 93.72864720388955)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 41.53567697613033)",e3_0,-0.9094664476579055
31,1,8.69839959719684,"(73.02978811561722, 112.49905523007436)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 45.79861048381352)",e3_0,1.8994201910682023
31,2,8.498085116851144,"(55.046095303972955, 123.5270219747459)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 42.150154174614826)",e3_1,1.72225010918919
31,3,7.014861850999296,"(25.670819674070884, 129.1160280966545)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_0,-0.38986461609601974
31,4,8.517916465876624,"(8.232447503254186, 127.56312668131241)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,1.4882607454201207
31,ev_0,16.880355122848414,"(77.28692176566062, 117.88339953958177)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e3_2,-1.6293214550241828
32,0,6.936137846671045,"(122.1879415909422, 88.72153390200629)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 38.94623101286124)",e4_0,-0.30213318520691246
32,1,9.525583809940144,"(81.82963178930359, 108.85274899293944)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 45.52813697017771)",e3_0,0.8271842127433047
32,2,7.21292239241302,"(61.709475811678054, 120.76598134645596)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 41.41153778911767)",e3_1,-1.2851627244381234
32,3,9.796057323575951,"(32.84163011349612, 129.15143413769994)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e3_0,2.7811954725766554
32,4,7.951538777910173,"(15.876806379694123, 129.74739114674833)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,-0.566377687966451
32,ev_0,17.253641128889285,"(93.22603350573833, 111.27886374242608)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e3_2,0.37328600604087114
33,0,7.2529542328557,"(124.01896397181417, 81.70332612823674)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 38.42757130290846)",e4_0,0.31681638618465513
33,1,7.771613942808472,"(89.00913796482959, 105.87784635624266)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 43.78276370063466)",e3_0,-1.7539698671316728
