Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
61,car2.0,6.045822739441298,"(-74.52380608934097, 38.258633601713086)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",:J6_0_1,-2.2
62,car1.0,4.9694137496238575,"(-67.99040126383353, 109.70536787798528)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 63.9141114925979)",E7_1,0.9265574795426801
62,car2.0,4.670594132345521,"(-74.81855333044238, 42.54286788051716)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E6_1,-1.375228607095777
63,car1.0,6.5025705739220605,"(-63.19305461081329, 114.09575772411388)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 64.27035968488067)",E7_1,1.533156824298203
63,car2.0,6.146322381639273,"(-75.16494257347485, 48.67875685122172)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E6_1,1.475728249293752
64,car1.0,7.0773220711683855,"(-57.97167839282517, 118.87420689368562)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 64.87325215161151)",E7_1,0.574751497246325
64,car2.0,6.474429604437553,"(-75.52982300611333, 55.142196081182206)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E6_1,0.3281072227982804
65,car1.0,9.091462925059535,"(-51.26434646327942, 125.01255880526833)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 67.3643292724031)",E7_1,2.014140853891149
65,car2.0,6.600385804267951,"(-75.90180197182661, 61.7313776997359)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E6_1,0.12595619983039796
66,car1.0,8.79646305980517,"(-44.77465409644678, 130.9517334225336)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 66.82742174911978)",E7_1,-0.29499986525436483
